niche,map_id,scenario,best_performance,combination
5000,7,2,3.2368058221154183,4
5000,8,2,3.80357176178006,4
5000,9,2,3.0416370082199187,4
5000,10,2,3.302971330578074,4
5000,11,2,2.99117346412932,4
5000,12,2,3.874264071717652,4
5000,13,2,3.9001314258286306,4
5000,14,2,3.3709162194257005,4
5000,15,2,2.9498705979928976,4
5000,16,2,3.371619437756279,4
5000,17,2,4.002538629215371,4
5000,18,2,3.2352445766270734,4
5000,19,2,2.715998741149702,4
5000,20,2,3.4091097755577184,4
5000,1,2,3.0756424090568824,5
5000,2,2,2.3942717589341145,5
5000,3,2,3.042731805677678,5
5000,4,2,2.8587306162702752,5
5000,5,2,2.9769946119976685,5
5000,6,2,2.1821783831623685,5
5000,7,2,2.608553077717449,5
5000,8,2,3.13772617085915,5
5000,9,2,2.675933684551391,5
5000,10,2,2.9273245722219805,5
5000,11,2,1.944499357189898,5
5000,12,2,3.349637081615571,5
5000,13,2,3.3878846175862374,5
5000,14,2,2.995555278789181,5
5000,15,2,2.2785284154487173,5
5000,16,2,2.6140369053007952,5
5000,17,2,2.4359091441416747,5
5000,18,2,3.196311728578841,5
5000,19,2,2.256677260911393,5
5000,20,2,2.474549186433299,5
5000,1,2,1.9343711985413148,6
5000,2,2,1.8041774252282277,6
5000,3,2,1.5091129650988224,6
5000,4,2,3.216395114042724,6
5000,5,2,1.6352649169648268,6
5000,6,2,1.4176621426342961,6
5000,7,2,1.0941185917024427,6
5000,8,2,1.5504065547705421,6
5000,9,2,1.1757517473568104,6
5000,10,2,1.8428111433563497,6
5000,11,2,1.9054843217004676,6
5000,12,2,2.8966756968977685,6
5000,13,2,3.2251753395172527,6
5000,14,2,2.7394847799692275,6
5000,15,2,0.7844334431453995,6
5000,16,2,2.301399574438829,6
5000,17,2,1.4622640515784395,6
5000,18,2,2.3643144719310394,6
5000,19,2,0.855693452354483,6
5000,20,2,0.723059703759034,6
5000,1,3,1.848873996327688,1
5000,2,3,2.661570157028294,1
5000,3,3,0.9998509215468127,1
5000,4,3,0.8503408948139606,1
5000,5,3,0.9835951024133817,1
5000,6,3,2.3640766929015737,1
5000,7,3,1.8416598675327003,1
5000,8,3,2.0786015775510935,1
5000,9,3,1.173230619745288,1
5000,10,3,1.0905850189103157,1
5000,11,3,2.2068030112042645,1
5000,12,3,1.5125547151404262,1
5000,13,3,1.5878838585116306,1
5000,14,3,1.4507974306108387,1
5000,15,3,0.7376304856370712,1
5000,16,3,2.0744337907473684,1
5000,17,3,2.9901840371082655,1
5000,18,3,0.8135646016014312,1
5000,19,3,3.005544328263218,1
5000,20,3,1.3618631603141915,1
5000,1,3,1.7911901789116003,2
5000,2,3,1.8791420396300178,2
5000,3,3,1.0370005248403606,2
5000,4,3,1.8683670371112533,2
5000,5,3,2.603421323333818,2
5000,6,3,2.231915511004144,2
5000,7,3,2.7484645590764423,2
5000,8,3,2.4160249092916732,2
5000,9,3,0.7183562007712296,2
5000,10,3,2.578704270318909,2
5000,11,3,1.1588813679401746,2
5000,12,3,0.8631469196203336,2
5000,13,3,1.5106714041624372,2
5000,14,3,2.5417021563212487,2
5000,15,3,0.49809441622494544,2
5000,16,3,1.3646044316339938,2
5000,17,3,2.7681634109169213,2
5000,18,3,2.2586988152583722,2
5000,19,3,1.2625374382600754,2
5000,20,3,1.2907262277439053,2
5000,1,3,1.5725857032186186,3
5000,2,3,2.456243576660463,3
5000,3,3,1.5612356211296368,3
5000,4,3,1.5567606095584767,3
5000,5,3,0.978953242054337,3
5000,6,3,0.9381312852737267,3
5000,7,3,0.9059955886053596,3
5000,8,3,1.5743528768079573,3
5000,9,3,1.1112631523357683,3
5000,10,3,1.861948584382102,3
5000,11,3,1.071689122545336,3
5000,12,3,1.0219549559787253,3
5000,13,3,2.3097170063148047,3
5000,14,3,1.959906447115403,3
5000,15,3,2.2261920701055744,3
5000,16,3,1.8135887389850422,3
5000,17,3,0.6633438399603354,3
5000,18,3,1.1203983335239414,3
5000,19,3,1.834733644980537,3
5000,20,3,0.8436102108759608,3
5000,1,4,0.4553182810460967,1
5000,2,4,0.6735357159618043,1
5000,3,4,0.4221832543298064,1
5000,4,4,0.9455716392077865,1
5000,5,4,0.5451012790384322,1
5000,6,4,0.5273608730916212,1
5000,7,4,0.33121135594775153,1
5000,8,4,0.5277530779571804,1
5000,9,4,1.0573223669308245,1
5000,10,4,0.5589557074787762,1
5000,11,4,0.6717982066389028,1
5000,12,4,1.1829645879584256,1
5000,13,4,0.42497736896224914,1
5000,14,4,0.5545545168171852,1
5000,15,4,1.0123096897898098,1
5000,16,4,1.3818047185416111,1
5000,17,4,0.6317982886234714,1
5000,18,4,0.6208318908226534,1
5000,19,4,0.9910953707171027,1
5000,20,4,0.3384457657882953,1
5000,1,4,1.3492715956468215,2
5000,2,4,1.283572756065691,2
5000,3,4,0.974526562766885,2
5000,4,4,1.5103489869145477,2
5000,5,4,1.0811955710243575,2
5000,6,4,2.079310641064394,2
5000,7,4,1.2376775721844144,2
5000,8,4,0.9019559267430757,2
5000,9,4,1.7664480152512108,2
5000,10,4,1.1759659349956457,2
5000,11,4,1.4501053865328184,2
5000,12,4,0.8886529135684926,2
5000,13,4,1.2137831276997293,2
5000,14,4,0.7729919647110245,2
5000,15,4,1.0696718520450388,2
5000,16,4,1.9571572138013504,2
5000,17,4,0.9774110615372517,2
5000,18,4,1.21184865223278,2
5000,19,4,0.8200794010674917,2
5000,20,4,1.532030901809271,2
5000,1,4,1.3289946872207477,3
5000,2,4,1.198277200276716,3
5000,3,4,1.219800975612711,3
5000,4,4,0.9163603576669475,3
5000,5,4,0.7283150339026899,3
5000,6,4,1.1117613209714505,3
5000,7,4,1.040409528628363,3
5000,8,4,1.180580417929627,3
5000,9,4,0.6298177570813576,3
5000,10,4,2.3236894689143477,3
5000,11,4,0.8308081296529289,3
5000,12,4,0.820082001696141,3
5000,13,4,1.0750028043442748,3
5000,14,4,0.6327898900140592,3
5000,15,4,0.6774810581328689,3
5000,16,4,1.4112737395805848,3
5000,17,4,1.15997277699566,3
5000,18,4,1.1686388296019021,3
5000,19,4,2.108664379786425,3
5000,20,4,1.6062367685132943,3
5000,1,4,0.8160875675279567,4
5000,2,4,1.7295077153981215,4
5000,3,4,1.0349449315876318,4
5000,4,4,0.5793115957513364,4
5000,5,4,0.854630742442541,4
5000,6,4,0.7498287970009975,4
5000,7,4,0.5078450641957646,4
5000,8,4,1.6395382823619622,4
5000,9,4,2.1540436426872103,4
5000,10,4,0.7163514017596414,4
5000,11,4,1.1792201176431938,4
5000,12,4,1.7138881365932601,4
5000,13,4,0.5849227542959534,4
5000,14,4,1.32402416888481,4
5000,15,4,1.3467441345689442,4
5000,16,4,0.49216531442342254,4
5000,17,4,0.7179393527394582,4
5000,18,4,0.9969437028813708,4
5000,19,4,0.7180823969267855,4
5000,20,4,0.3719201259877591,4
5000,1,4,0.5728909091377503,5
5000,2,4,1.3868005163259525,5
5000,3,4,0.382300409529791,5
5000,4,4,0.5680636741458439,5
5000,5,4,0.4530621363610465,5
5000,6,4,1.0263684181983606,5
5000,7,4,0.547406428154186,5
5000,8,4,1.4395823392762255,5
5000,9,4,0.4340300172752541,5
5000,10,4,0.3833249657656922,5
5000,11,4,1.2346013065027366,5
5000,12,4,0.539739516915148,5
5000,13,4,0.447540459472541,5
5000,14,4,0.5376048844251433,5
5000,15,4,0.5707197638357706,5
5000,16,4,1.9910027902014882,5
5000,17,4,0.6783739491493648,5
5000,18,4,0.4493167184528614,5
5000,19,4,0.5464320222357736,5
5000,20,4,0.5478027541839623,5
